"Project","MethodIndex","Method","Count","Tests"
"junit4","40","org.junit.internal.runners.rules.RuleMemberValidator.testRuleValidatorBuilder()","2","org.junit.tests.assertion.AssertionTest.notSameWithMessage [],junit.tests.framework.TestCaseTest.testError []"
"junit4","41","org.junit.runners.model.FrameworkMethod.isShadowedBy(FrameworkMethod)","2","org.junit.tests.assertion.AssertionTest.oneDimensionalPrimitiveArraysAreEqual [],org.junit.experimental.categories.CategoryTest.runMethodWithTwoCategories []"
"junit4","42","org.junit.internal.builders.SuiteMethodBuilder.hasSuiteMethod(Class<?>)","2","org.junit.experimental.categories.CategoryTest.anyMethodWithExcludedCategoryWillBeExcluded [],org.junit.samples.money.MoneyTest.testMoneyBagEquals []"
"junit4","43","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder()","2","junit.tests.framework.SuiteTest.testNoTestCaseClass [],org.junit.tests.junit3compatibility.SuiteMethodTest.makeSureSuiteIsCalled []"
"junit4","44","org.junit.experimental.results.ResultMatchers.failureCountIs(int)","2","org.junit.rules.VerifierRuleTest.verifierRunsAfterTest [],org.junit.tests.experimental.theories.runner.TypeMatchingBetweenMultiDataPointsMethod.pickUpMultiPointDataPointMethods []"
"junit4","45","org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParametersFactory.createRunnerForTestWithParameters(TestWithParameters)","1","org.junit.tests.manipulation.FilterableTest.testFilterInRunnerConstructor []"
"junit4","46","org.junit.runner.Description.addChild(Description)","1","org.junit.tests.running.methods.ExpectedTest.expectsSuperclass []"
"junit4","47","junit.framework.TestCase.runTest()","1","org.junit.tests.running.methods.AnnotationTest.testTeardownAfterFailure []"
"junit4","48","org.junit.rules.TemporaryFolder.createTemporaryFolderWithNioApi(File)","1","org.junit.rules.TemporaryFolderUsageTest.newFolderWithGivenPathThrowsIOExceptionIfFolderExists []"
"junit4","49","junit.framework.TestResult.run(TestCase)","1","junit.tests.framework.TestCaseTest.testErrorTearingDownDoesntMaskErrorRunning []"
"junit4","50","org.junit.internal.Throwables.getTrimmedStackTraceLines(Throwable)","1","org.junit.internal.StackTracesTest.getTrimmedStackForJUnit4TestFailingInTestMethodWithCause []"
"junit4","51","org.junit.internal.runners.JUnit38ClassRunner.makeDescription(Test)","1","junit.tests.extensions.ActiveTestTest.testActiveTest []"
"junit4","52","org.junit.internal.runners.rules.RuleMemberValidator.isMethodRule(FrameworkMember<?>)","1","org.junit.rules.TemporaryFolderUsageTest.newFolderWithPathsContainingForwardSlashCreatesFullPath []"
"junit4","53","org.junit.internal.runners.statements.FailOnTimeout.evaluate()","1","org.junit.rules.TimeoutRuleTest.timeUnitTimeout []"
"junit4","54","junit.framework.TestSuite.getTestConstructor(Class<?>)","1","junit.tests.framework.AssertTest.testAssertionFailedErrorToStringWithNoMessage []"
"junit4","55","org.junit.runners.BlockJUnit4ClassRunner.methodBlock(FrameworkMethod)","1","org.junit.tests.assertion.AssertionTest.assertNotEqualsConsidersFloatDeltaCorrectly []"
"junit4","56","org.junit.runners.model.FrameworkMethod.getName()","1","org.junit.tests.assertion.AssertionTest.assertNotEqualsIgnoresFloatDeltaOnNaN []"
"junit4","57","org.junit.runner.notification.SynchronizedRunListener.testFinished(Description)","1","org.junit.tests.assertion.AssertionTest.assertThrowsUsesNameUponTypeMismatchWithAnonymousClass []"
"junit4","58","org.junit.runners.model.FrameworkField.get(Object)","1","org.junit.runners.model.TestClassTest.presentAnnotationIsAvailable []"
"junit4","59","org.junit.experimental.theories.internal.AllMembersSupplier.getDataPointsFields(ParameterSignature)","1","org.junit.tests.experimental.theories.runner.WithDataPointMethod.ignoreDataPointMethodsWithWrongTypes []"
"junit4","60","org.junit.runner.notification.RunNotifier.fireTestSuiteStarted(Description)","1","org.junit.tests.junit3compatibility.SuiteMethodTest.makeSureSuiteWorksWithJUnit4Classes []"
"junit4","61","org.junit.internal.builders.AnnotatedBuilder.buildRunner(Class<?extendsRunner>,Class<?>)","1","org.junit.tests.experimental.theories.internal.ParameterizedAssertionErrorTest.canJoinWhenToStringFails []"
"junit4","62","org.junit.runners.ParentRunner.classRules()","1","org.junit.tests.experimental.theories.runner.TypeMatchingBetweenMultiDataPointsMethod.pickUpMultiPointDataPointMethods []"
"junit4","63","org.junit.internal.builders.JUnit3Builder.runnerForClass(Class<?>)","1","org.junit.internal.StackTracesTest.getTrimmedStackForJUnit3TestFailingInTestMethod []"
"junit4","64","org.junit.experimental.theories.internal.AllMembersSupplier.addSinglePointFields(ParameterSignature,List<PotentialAssignment>)","1","org.junit.tests.experimental.theories.runner.WithNamedDataPoints.onlyUseSpecificDataPointsIfSpecified []"
"junit4","65","junit.textui.TestRunner.runFailed(String)","1","junit.tests.runner.TextRunnerTest.testError []"
